key,priority,created,status,versions
JENA-2199,Major,2021-11-09T14:23:35.000+0000,Closed,
JENA-2198,Major,2021-11-09T10:35:10.000+0000,Closed,
JENA-2197,Major,2021-11-08T17:03:27.000+0000,Closed, 3.17.0  4.3.0
JENA-2196,Major,2021-11-06T16:27:52.000+0000,Closed,
JENA-2195,Minor,2021-11-05T14:25:02.000+0000,Closed, 4.2.0
JENA-2194,Major,2021-11-05T10:03:33.000+0000,Closed, 4.2.0
JENA-2193,Major,2021-11-04T08:42:13.000+0000,Closed,
JENA-2192,Major,2021-11-03T10:47:44.000+0000,Closed, 4.2.0
JENA-2191,Major,2021-11-03T08:10:30.000+0000,Closed, 4.0.0
JENA-2190,Major,2021-11-01T19:29:07.000+0000,Closed, 4.2.0
JENA-2189,Major,2021-11-01T13:49:41.000+0000,Closed, 3.8.0  3.9.0  3.10.0  3.11.0  3.12.0  3.13.0  3.13.1  3.14.0  3.15.0  3.16.0  3.17.0  4.0.0  4.1.0  4.2.0
JENA-2188,Major,2021-10-29T13:00:07.000+0000,Closed, 4.2.0
JENA-2187,Minor,2021-10-27T16:12:14.000+0000,Closed, 4.2.0
JENA-2186,Major,2021-10-21T19:26:13.000+0000,Closed, 4.2.0
JENA-2185,Minor,2021-10-15T13:56:29.000+0000,Closed, 4.2.0
JENA-2184,Major,2021-10-11T21:06:24.000+0000,Closed, 4.2.0
JENA-2183,Major,2021-10-10T11:34:15.000+0000,Closed, 4.2.0
JENA-2182,Major,2021-10-07T12:04:24.000+0000,Closed, 4.2.0
JENA-2181,Minor,2021-10-07T09:33:20.000+0000,Open,
JENA-2180,Minor,2021-10-06T11:50:53.000+0000,Closed, 3.14.0
JENA-2179,Major,2021-10-06T03:25:12.000+0000,Closed, 4.2.0
JENA-2178,Minor,2021-10-05T19:47:39.000+0000,Closed, 4.2.0
JENA-2177,Major,2021-10-05T13:14:49.000+0000,Closed, 4.0.0
JENA-2176,Major,2021-10-05T00:49:47.000+0000,Closed, 4.2.0
JENA-2175,Major,2021-10-02T15:22:45.000+0000,Closed, 4.2.0
JENA-2174,Minor,2021-10-02T14:41:10.000+0000,Closed,
JENA-2173,Major,2021-10-02T14:37:29.000+0000,Closed, 4.2.0
JENA-2172,Minor,2021-09-27T07:13:07.000+0000,Closed, 2.7.4  4.2.0
JENA-2171,Minor,2021-09-25T16:48:04.000+0000,Closed, 4.2.0
JENA-2170,Minor,2021-09-24T17:31:36.000+0000,Closed, 4.2.0
JENA-2169,Major,2021-09-23T10:48:37.000+0000,Closed,
JENA-2168,Major,2021-09-21T20:07:05.000+0000,Closed, 4.2.0
JENA-2167,Major,2021-09-20T20:47:04.000+0000,Closed, 4.2.0
JENA-2166,Minor,2021-09-20T19:38:25.000+0000,Closed, 4.2.0
JENA-2165,Major,2021-09-20T10:42:08.000+0000,Closed, 4.2.0
JENA-2164,Minor,2021-09-18T08:01:14.000+0000,Closed, 4.2.0
JENA-2163,Major,2021-09-18T07:58:03.000+0000,Closed, 4.2.0
JENA-2162,Minor,2021-09-18T07:54:53.000+0000,Closed, 4.2.0
JENA-2161,Major,2021-09-18T07:49:52.000+0000,Closed, 4.2.0
JENA-2160,Minor,2021-09-11T11:07:32.000+0000,Closed, 4.1.0
JENA-2159,Major,2021-09-10T15:16:09.000+0000,Closed, 4.1.0
JENA-2158,Major,2021-09-10T10:16:24.000+0000,Closed, 4.1.0
